Country,CountryCode,StatsSeriesExtDim,StatsSeriesExtDimCode,2007,2008,2009,2010,2011,2012
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 35-39, female",BAR.PRM.SCHL.3539.FE,,,,6.6387,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 35-39, total",BAR.PRM.SCHL.3539,,,,6.937,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 40-44, female",BAR.PRM.SCHL.4044.FE,,,,6.3553,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 40-44, total",BAR.PRM.SCHL.4044,,,,6.7075,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 45-49, female",BAR.PRM.SCHL.4549.FE,,,,5.6204,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 45-49, total",BAR.PRM.SCHL.4549,,,,6.1719,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 50-54, female",BAR.PRM.SCHL.5054.FE,,,,4.2153,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 50-54, total",BAR.PRM.SCHL.5054,,,,4.6289,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 55-59, female",BAR.PRM.SCHL.5559.FE,,,,3.344,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 55-59, total",BAR.PRM.SCHL.5559,,,,3.9412,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 60-64, female",BAR.PRM.SCHL.6064.FE,,,,3.344,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 60-64, total",BAR.PRM.SCHL.6064,,,,3.9412,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 65-69, female",BAR.PRM.SCHL.6569.FE,,,,2.4895,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 65-69, total",BAR.PRM.SCHL.6569,,,,3.181,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 70-74, female",BAR.PRM.SCHL.7074.FE,,,,2.5596,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 70-74, total",BAR.PRM.SCHL.7074,,,,3.2527,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 75+, female",BAR.PRM.SCHL.75UP.FE,,,,2.8014,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 75+, total",BAR.PRM.SCHL.75UP,,,,3.2725,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 15+, female",BAR.SEC.SCHL.15UP.FE,,,,2.9105,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,,,,3.1404,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 15-19, female",BAR.SEC.SCHL.1519.FE,,,,4.3752,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 15-19, total",BAR.SEC.SCHL.1519,,,,4.6479,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 20-24, female",BAR.SEC.SCHL.2024.FE,,,,3.9966,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 20-24, total",BAR.SEC.SCHL.2024,,,,3.9967,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 25+, female",BAR.SEC.SCHL.25UP.FE,,,,2.3864,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 25+, total",BAR.SEC.SCHL.25UP,,,,2.6393,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 25-29, female",BAR.SEC.SCHL.2529.FE,,,,3.7673,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 25-29, total",BAR.SEC.SCHL.2529,,,,3.8263,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 30-34, female",BAR.SEC.SCHL.3034.FE,,,,2.4718,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 30-34, total",BAR.SEC.SCHL.3034,,,,2.666,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 35-39, female",BAR.SEC.SCHL.3539.FE,,,,2.1444,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 35-39, total",BAR.SEC.SCHL.3539,,,,2.381,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 40-44, female",BAR.SEC.SCHL.4044.FE,,,,1.8898,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 40-44, total",BAR.SEC.SCHL.4044,,,,2.1377,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 45-49, female",BAR.SEC.SCHL.4549.FE,,,,1.5551,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 45-49, total",BAR.SEC.SCHL.4549,,,,1.8445,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 50-54, female",BAR.SEC.SCHL.5054.FE,,,,2.3326,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 50-54, total",BAR.SEC.SCHL.5054,,,,2.7667,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 55-59, female",BAR.SEC.SCHL.5559.FE,,,,1.6656,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 55-59, total",BAR.SEC.SCHL.5559,,,,2.0713,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 60-64, female",BAR.SEC.SCHL.6064.FE,,,,1.6656,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 60-64, total",BAR.SEC.SCHL.6064,,,,2.0713,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 65-69, female",BAR.SEC.SCHL.6569.FE,,,,1.1269,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 65-69, total",BAR.SEC.SCHL.6569,,,,1.4386,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 70-74, female",BAR.SEC.SCHL.7074.FE,,,,1.217,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 70-74, total",BAR.SEC.SCHL.7074,,,,1.545,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 75+, female",BAR.SEC.SCHL.75UP.FE,,,,1.7442,,
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 75+, total",BAR.SEC.SCHL.75UP,,,,1.9449,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 15+, female",BAR.TER.SCHL.15UP.FE,,,,0.4327,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,,,,0.4739,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 15-19, female",BAR.TER.SCHL.1519.FE,,,,0.1377,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 15-19, total",BAR.TER.SCHL.1519,,,,0.1237,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,,,,0.6274,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,,,,0.6328,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 25+, female",BAR.TER.SCHL.25UP.FE,,,,0.4711,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 25+, total",BAR.TER.SCHL.25UP,,,,0.5405,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",BAR.TER.SCHL.2529.FE,,,,0.7058,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,,,,0.7757,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",BAR.TER.SCHL.3034.FE,,,,0.5538,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",BAR.TER.SCHL.3034,,,,0.5833,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",BAR.TER.SCHL.3539.FE,,,,0.55,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",BAR.TER.SCHL.3539,,,,0.6042,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",BAR.TER.SCHL.4044.FE,,,,0.4571,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",BAR.TER.SCHL.4044,,,,0.5196,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",BAR.TER.SCHL.4549.FE,,,,0.3934,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",BAR.TER.SCHL.4549,,,,0.4699,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 50-54, female",BAR.TER.SCHL.5054.FE,,,,0.3934,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",BAR.TER.SCHL.5054,,,,0.4699,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 55-59, female",BAR.TER.SCHL.5559.FE,,,,0.3211,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 55-59, total",BAR.TER.SCHL.5559,,,,0.4127,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 60-64, female",BAR.TER.SCHL.6064.FE,,,,0.3211,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 60-64, total",BAR.TER.SCHL.6064,,,,0.4127,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 65-69, female",BAR.TER.SCHL.6569.FE,,,,0.1957,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 65-69, total",BAR.TER.SCHL.6569,,,,0.2771,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 70-74, female",BAR.TER.SCHL.7074.FE,,,,0.2251,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 70-74, total",BAR.TER.SCHL.7074,,,,0.3144,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 75+, female",BAR.TER.SCHL.75UP.FE,,,,0.1972,,
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 75+, total",BAR.TER.SCHL.75UP,,,,0.2507,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE,,,,9.3173,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,,,,9.9086,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE,,,,10.1874,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,,,,10.504,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 20-24, female",BAR.SCHL.2024.FE,,,,12.6173,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 20-24, total",BAR.SCHL.2024,,,,12.623,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 25+, female",BAR.SCHL.25UP.FE,,,,8.4404,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,,,,9.2046,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 25-29, female",BAR.SCHL.2529.FE,,,,12.2671,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 25-29, total",BAR.SCHL.2529,,,,12.4517,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 30-34, female",BAR.SCHL.3034.FE,,,,9.9942,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 30-34, total",BAR.SCHL.3034,,,,10.4391,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 35-39, female",BAR.SCHL.3539.FE,,,,9.333,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 35-39, total",BAR.SCHL.3539,,,,9.9222,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 40-44, female",BAR.SCHL.4044.FE,,,,8.7022,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 40-44, total",BAR.SCHL.4044,,,,9.3648,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 45-49, female",BAR.SCHL.4549.FE,,,,7.5688,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 45-49, total",BAR.SCHL.4549,,,,8.4863,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 50-54, female",BAR.SCHL.5054.FE,,,,6.9413,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 50-54, total",BAR.SCHL.5054,,,,7.8656,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 55-59, female",BAR.SCHL.5559.FE,,,,5.3307,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 55-59, total",BAR.SCHL.5559,,,,6.4252,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 60-64, female",BAR.SCHL.6064.FE,,,,5.3307,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 60-64, total",BAR.SCHL.6064,,,,6.4252,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 65-69, female",BAR.SCHL.6569.FE,,,,3.812,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 65-69, total",BAR.SCHL.6569,,,,4.8967,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 70-74, female",BAR.SCHL.7074.FE,,,,4.0017,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 70-74, total",BAR.SCHL.7074,,,,5.1121,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 75+, female",BAR.SCHL.75UP.FE,,,,4.7428,,
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,,,,5.4681,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, female, completed primary",BAR.PRM.CMPT.15UP.FE.ZS,,,,10.9,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, female, completed secondary",BAR.SEC.CMPT.15UP.FE.ZS,,,,42.1,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, female, completed tertiary",BAR.TER.CMPT.15UP.FE.ZS,,,,6.1,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, female, incomplete primary",BAR.PRM.ICMP.15UP.FE.ZS,,,,25.3,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, female, incomplete secondary",BAR.SEC.ICMP.15UP.FE.ZS,,,,49,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, female, incomplete tertiary",BAR.TER.ICMP.15UP.FE.ZS,,,,15.6,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, female, no education",BAR.NOED.15UP.FE.ZS,,,,10,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, total, completed primary",BAR.PRM.CMPT.15UP.ZS,,,,10.9,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, total, completed secondary",BAR.SEC.CMPT.15UP.ZS,,,,45.7,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, total, completed tertiary",BAR.TER.CMPT.15UP.ZS,,,,6.8,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, total, incomplete primary",BAR.PRM.ICMP.15UP.ZS,,,,23.4,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, total, incomplete secondary",BAR.SEC.ICMP.15UP.ZS,,,,53,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, total, incomplete tertiary",BAR.TER.ICMP.15UP.ZS,,,,16.9,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15+, total, no education",BAR.NOED.15UP.ZS,,,,6.6,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, female, completed primary",BAR.PRM.CMPT.1519.FE.ZS,,,,14,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, female, completed secondary",BAR.SEC.CMPT.1519.FE.ZS,,,,64.9,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, female, completed tertiary",BAR.TER.CMPT.1519.FE.ZS,,,,0,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, female, incomplete primary",BAR.PRM.ICMP.1519.FE.ZS,,,,24.7,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, female, incomplete secondary",BAR.SEC.ICMP.1519.FE.ZS,,,,68.4,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, female, incomplete tertiary",BAR.TER.ICMP.1519.FE.ZS,,,,6.9,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, female, no education",BAR.NOED.1519.FE.ZS,,,,0.1,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, total, completed primary",BAR.PRM.CMPT.1519.ZS,,,,12.1,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, total, completed secondary",BAR.SEC.CMPT.1519.ZS,,,,70.5,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, total, completed tertiary",BAR.TER.CMPT.1519.ZS,,,,0,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, total, incomplete primary",BAR.PRM.ICMP.1519.ZS,,,,20.8,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, total, incomplete secondary",BAR.SEC.ICMP.1519.ZS,,,,72.9,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, total, incomplete tertiary",BAR.TER.ICMP.1519.ZS,,,,6.2,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 15-19, total, no education",BAR.NOED.1519.ZS,,,,0.1,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, female, completed primary",BAR.PRM.CMPT.2024.FE.ZS,,,,0,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, female, completed secondary",BAR.SEC.CMPT.2024.FE.ZS,,,,74.3,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, female, completed tertiary",BAR.TER.CMPT.2024.FE.ZS,,,,5.7,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, female, incomplete primary",BAR.PRM.ICMP.2024.FE.ZS,,,,0,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, female, incomplete secondary",BAR.SEC.ICMP.2024.FE.ZS,,,,74.3,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, female, incomplete tertiary",BAR.TER.ICMP.2024.FE.ZS,,,,25.6,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, female, no education",BAR.NOED.2024.FE.ZS,,,,0.1,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, total, completed primary",BAR.PRM.CMPT.2024.ZS,,,,0,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, total, completed secondary",BAR.SEC.CMPT.2024.ZS,,,,73.6,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, total, completed tertiary",BAR.TER.CMPT.2024.ZS,,,,5.4,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, total, incomplete primary",BAR.PRM.ICMP.2024.ZS,,,,0,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, total, incomplete secondary",BAR.SEC.ICMP.2024.ZS,,,,73.6,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, total, incomplete tertiary",BAR.TER.ICMP.2024.ZS,,,,26.3,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 20-24, total, no education",BAR.NOED.2024.ZS,,,,0.1,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, female, completed primary",BAR.PRM.CMPT.25UP.FE.ZS,,,,11.2,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, female, completed secondary",BAR.SEC.CMPT.25UP.FE.ZS,,,,32,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, female, completed tertiary",BAR.TER.CMPT.25UP.FE.ZS,,,,8,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, female, incomplete primary",BAR.PRM.ICMP.25UP.FE.ZS,,,,30.5,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, female, incomplete secondary",BAR.SEC.ICMP.25UP.FE.ZS,,,,39.5,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, female, incomplete tertiary",BAR.TER.ICMP.25UP.FE.ZS,,,,15.6,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, female, no education",BAR.NOED.25UP.FE.ZS,,,,14.2,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, total, completed primary",BAR.PRM.CMPT.25UP.ZS,,,,11.8,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, total, completed secondary",BAR.SEC.CMPT.25UP.ZS,,,,35.4,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, total, completed tertiary",BAR.TER.CMPT.25UP.ZS,,,,9.5,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, total, incomplete primary",BAR.PRM.ICMP.25UP.ZS,,,,29,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, total, incomplete secondary",BAR.SEC.ICMP.25UP.ZS,,,,43.8,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, total, incomplete tertiary",BAR.TER.ICMP.25UP.ZS,,,,17.5,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25+, total, no education",BAR.NOED.25UP.ZS,,,,9.5,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, female, completed primary",BAR.PRM.CMPT.2529.FE.ZS,,,,0,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, female, completed secondary",BAR.SEC.CMPT.2529.FE.ZS,,,,67.5,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, female, completed tertiary",BAR.TER.CMPT.2529.FE.ZS,,,,11.9,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, female, incomplete primary",BAR.PRM.ICMP.2529.FE.ZS,,,,0,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, female, incomplete secondary",BAR.SEC.ICMP.2529.FE.ZS,,,,74,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, female, incomplete tertiary",BAR.TER.ICMP.2529.FE.ZS,,,,23.4,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, female, no education",BAR.NOED.2529.FE.ZS,,,,2.6,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, total, completed primary",BAR.PRM.CMPT.2529.ZS,,,,0,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, total, completed secondary",BAR.SEC.CMPT.2529.ZS,,,,68,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, total, completed tertiary",BAR.TER.CMPT.2529.ZS,,,,13.6,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, total, incomplete primary",BAR.PRM.ICMP.2529.ZS,,,,0,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, total, incomplete secondary",BAR.SEC.ICMP.2529.ZS,,,,72.9,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, total, incomplete tertiary",BAR.TER.ICMP.2529.ZS,,,,25.2,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 25-29, total, no education",BAR.NOED.2529.ZS,,,,1.9,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 30-34, female, completed primary",BAR.PRM.CMPT.3034.FE.ZS,,,,12.6,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 30-34, female, completed secondary",BAR.SEC.CMPT.3034.FE.ZS,,,,38.9,,
Bolivia,BOL,"Barro-Lee: Percentage of population by educational attainment, age 30-34, female, completed tertiary",BAR.TER.CMPT.3034.FE.ZS,,,,9.3,,
